ETFSym,HoldingSym,HoldingPercentage
HDG,AMEH,0.0002
HDG,KRTX,0.0002
HDG,MGRC,0.0002
HDG,TWO,0.0002
HDG,ATRC,0.0002
HDG,CNNE,0.0002
HDG,ACA,0.0002
HDG,NTCT,0.0002
HDG,KTOS,0.0002
HDG,MTRN,0.0002
HDG,HTH,0.0002
HDG,MDC,0.0002
HDG,OMI,0.0002
HDG,CIVI,0.0002
HDG,CWEN,0.0002
HDG,CASH,0.0002
HDG,MANT,0.0002
HDG,WWW,0.0002
HDG,EVRI,0.0002
HDG,PDM,0.0002
HDG,PFSI,0.0002
HDG,SPT,0.0002
HDG,NVRO,0.0002
HDG,FSR,0.0002
HDG,WGO,0.0002
HDG,MOG.A,0.0002
HDG,PIPR,0.0002
HDG,CDLX,0.0002
HDG,CNK,0.0002
HDG,CVET,0.0002
HDG,HNI,0.0002
HDG,YELP,0.0002
HDG,EPAY,0.0002
HDG,RLGY,0.0002
HDG,IBP,0.0002
HDG,RUSHA,0.0002
HDG,GDOT,0.0002
HDG,MAXR,0.0002
HDG,DOOR,0.0002
HDG,HL,0.0002
HDG,KN,0.0002
HDG,ECPG,0.0002
HDG,CPE,0.0002
HDG,UE,0.0002
HDG,SSTK,0.0002
HDG,LGIH,0.0002
HDG,ARCH,0.0002
HDG,APPN,0.0002
HDG,WSBC,0.0002
HDG,ARCB,0.0002
HDG,KTB,0.0002
HDG,PLXS,0.0002
HDG,ACLS,0.0002
HDG,ENR,0.0002
HDG,AAT,0.0002
HDG,STC,0.0002
HDG,B,0.0002
HDG,MTX,0.0002
HDG,DOCN,0.0002
HDG,LOB,0.0002
HDG,FOLD,0.0002
HDG,ARI,0.0002
HDG,CCOI,0.0002
HDG,CDNA,0.0002
HDG,NUS,0.0002
HDG,RAMP,0.0002
HDG,AAWW,0.0002
HDG,ITGR,0.0002
HDG,JW.A,0.0002
HDG,IDCC,0.0002
HDG,TDS,0.0002
HDG,DRH,0.0002
HDG,CSTM,0.0002
HDG,VSH,0.0002
HDG,TBK,0.0002
HDG,BRC,0.0002
HDG,MNR,0.0002
HDG,VBTX,0.0002
HDG,VRRM,0.0002
HDG,KW,0.0002
HDG,CMP,0.0002
HDG,PRMW,0.0002
HDG,CALM,0.0002
HDG,KOS,0.0002
HDG,IPAR,0.0002
HDG,PGNY,0.0002
HDG,NEO,0.0002
HDG,PCRX,0.0002
HDG,RDFN,0.0002
HDG,PGRE,0.0002
HDG,XNCR,0.0002
HDG,BLMN,0.0002
HDG,OTTR,0.0002
HDG,RLJ,0.0002
HDG,CVCO,0.0002
HDG,WOR,0.0002
HDG,NTB,0.0002
HDG,EAF,0.0002
HDG,IBOC,0.0002
HDG,SCL,0.0002
HDG,KMT,0.0002
HDG,VIR,0.0002
HDG,GMS,0.0002
HDG,VRTS,0.0002
HDG,ASO,0.0002
HDG,SHAK,0.0002
HDG,HLNE,0.0002
HDG,CUBI,0.0002
HDG,OI,0.0002
HDG,CSGS,0.0002
HDG,RNST,0.0002
HDG,NMRK,0.0002
HDG,MEI,0.0002
HDG,INT,0.0002
HDG,SPXC,0.0002
HDG,SEM,0.0002
HDG,VCYT,0.0002
HDG,BDN,0.0002
HDG,NUVA,0.0002
HDG,APAM,0.0002
HDG,PBF,0.0002
HDG,NGVT,0.0002
HDG,NVTA,0.0002
HDG,PLAY,0.0002
HDG,TGH,0.0002
HDG,EVTC,0.0002
HDG,TSE,0.0002
HDG,UNF,0.0002
HDG,BOOT,0.0002
HDG,UCTT,0.0002
HDG,WHD,0.0002
HDG,DEA,0.0002
HDG,APPF,0.0002
HDG,SITC,0.0002
HDG,CNS,0.0002
HDG,FATE,0.0002
HDG,WAFD,0.0002
HDG,CYTK,0.0002
HDG,KAI,0.0002
HDG,BE,0.0002
HDG,WIRE,0.0002
HDG,XPER,0.0002
HDG,NXRT,0.0002
HDG,FSS,0.0002
HDG,BDC,0.0002
HDG,LKFN,0.0002
HDG,OCDX,0.0002
HDG,PACB,0.0002
HDG,COKE,0.0002
